Date,Open,High,Low,Close,Volume
20160118,371.44223035,399.94999999,367.11112952,388,22196.01999022
20160119,393.89998999,395,376.73464414,378.50200171,8779.08855613
20160120,379.502007,422.88270948,377.4225,422.88270948,15387.14149928
20160121,418.00000397,420.42999999,401.43089234,406.0000001,6751.03616056
20160122,405.0000003,413.26513434,375,380.97271858,6756.02213209
20160123,378.02890176,404.36071952,378.02890176,389.94000001,13328.05830136
20160124,385.00000003,407.91799999,378.80930001,402.85787573,10516.92480948
20160125,404.82937107,406.80087625,384.90950034,391.17000081,18108.31186502
20160126,390.26000002,399.65700001,384.90950034,395.11999999,15647.27354435
20160127,387.79,401.17609864,384.332,396,12979.7346639
20160128,391.19000101,391.19000101,374.68813274,378.0000001,11050.97176019
20160129,376.98,381.0000001,357.59046709,376.8600002,12980.18192613
20160130,378.94281121,380.5,371.2,378.66999987,1781.19602242
20160131,380.22999999,380.5,362.60000001,367.33999995,8407.72255208
20160201,367.33999991,380.09999995,360.5,370.45,13509.41891094
20160202,376.09,377.7777777,368.67145259,368.6900001,5604.44787387
20160203,368.81387894,373,351.8881965,358.52,9004.93684017
20160204,360.00002945,389.59999999,358.51,389.59999999,17028.530682
20160205,385.7773098,397.97511686,380.3530589,385.98899663,22708.10009319
20160206,388.18962933,388.18962933,371,377.63999823,15583.53414189
20160207,376.96999674,381.67419373,368.99999823,372.99999916,15932.59275596
20160208,372.99999916,379.00999997,369.09999999,369.65447893,6479.48321648
20160209,373.21999972,380.49,369.65451242,376.71518383,20723.32240604
20160210,376.98829552,385,364.1000001,382.97999999,37846.45175219
20160211,382.98,388.254,371.00000001,387.95,21454.516881
20160212,378.34879972,415.01869658,320,385,56849.66494514
20160213,384.31,397.99999998,380.31135223,391.98999996,44799.38904767
20160214,391.98999996,406.00000681,390.01050005,404.88887998,29671.13864735
20160215,398.00001134,408.7,397.59,403.8416231,40996.12487407
20160216,399.00000362,412.79999999,399.00000352,408.00000009,26228.93154111
20160217,411.49999999,426,399.55,413.50000048,48770.63843345
20160218,413.50000535,424.76999998,411,418.10000823,34912.88661748
20160219,420,424.8,413.00000001,417.00000354,14617.06581747
20160220,416.001,440,416.001,436.5100001,37972.04766773
20160221,436.99999009,445,420.48999982,441.00000442,35817.96966889
20160222,441.00000442,441.00000442,429.17,440,23594.55422733
20160223,440,440.00000001,413.42,416.10000178,60429.45297098
20160224,416.10000178,425.09999896,405.99500043,409.45245,39025.54904354
20160225,409.453,425.70181751,384.02000001,422.999999,77657.33776091
20160226,420,432.48000001,411.88900001,432.48000001,37088.59457624
20160227,429.00000552,434.99999,421.00100001,425.52,18908.51511429
20160228,430,439.44,380.99999,432.84999997,71879.58639651
20160229,431.55004679,441.30464888,431.55004679,436.1,30212.28504225
20160301,440,442.89999999,424.73000001,434.00000001,53433.06313699
20160302,432.3700057,438.9999999,422.13646503,425.98623253,35872.40546759
20160303,423.50910522,433.89,408.08999991,417.24,81434.40448315
20160304,422.499999,437.4944444,393.33,408.14999999,79482.19429671
20160305,400.40000001,410,378.88,392,129675.78057729
20160306,391.999,433,378.99,407.00000002,119132.11979732
20160307,407.00000002,420.02688172,401.7,409.9,62823.92444519
20160308,409.90000001,415.60594081,402.83042801,410.40000001,47787.9324513
20160309,410.40000001,415,401.00000003,404.4,82827.86906176
20160310,404,419.9,402.25185002,416.60126,64807.42080052
20160311,417.3,424.44475104,413.98,421.1,39582.40035558
20160312,421.09999999,422.06999999,406.57296965,410.5,118475.77071643
20160313,410.64106349,416.58836052,403,410.79,67860.07352421
20160314,403.88641349,420,385,411.95000001,174393.54265204
20160315,413.16000001,419.98956999,408.05,413.49000459,32758.04558617
20160316,413.49000459,419.9,409.48402084,418.1,39999.95745837
20160317,418.1,428.85247103,414.5,418.30999999,74062.69656392
20160318,418.30999999,421,395.00010001,404.91999981,149460.46486619
20160319,401.02100001,416.795,400,404.25730345,68209.42580957
20160320,409.22999976,415.71129614,404.26,409.98,39316.06686728
20160321,409.00000001,412.98,402.92,404.36491835,65750.7879139
20160322,406.56757875,418.59410249,403.96155785,414.99458,47490.18751185
20160323,414.99958,423,413.67326001,416.6,32499.02786897
20160324,416.6,423.81442871,414,418.8,57163.65425816
20160325,418.00000001,418.88,413.50108799,416.71542144,9248.62912324
20160326,415.47795858,420.59117429,413.93,418.32335169,23467.42120272
20160327,415.271,428.99999996,415,424.0852,50868.76451029
20160328,424.1252,428.75209124,420,425.39092016,48232.4741829
20160329,421.1000001,428.5,410,416.965,74052.5605586
20160330,416.965,420.499,410,414.3,106608.59953261
20160331,416.7734024,420.42259642,414.30000001,417,16043.0095792
20160401,416.0000001,420.04,416.0000001,418.2,12339.2326862
20160402,418.59,424,418.00000001,421.56301498,68343.11854222
20160403,419.91910001,424.5,419.91910001,423.99899758,65653.62855696
20160404,421.90816998,423.999,420.2,420.50000777,26764.47646093
20160405,422.80000782,425.887,420.20000007,424.15999996,32694.42101929
20160406,424.15999995,425.938118,420.55,422.49957852,35692.79788744
20160407,422.92250103,424.7050012,420.083,423.99999994,19851.51911763
20160408,421.96837823,426.5,418,419.00010005,54145.06645227
20160409,419.001,426.7,414.140001,420.5,55845.45172203
20160410,417.62721002,425,415.1500001,419.71930424,90353.82208384
20160411,419.71930424,424.77,419,422.75262835,16320.47263178
20160412,423.17538097,429.98,422.4,424.89,69844.33423397
20160413,426.5,427.5,423.24,425,29207.16247342
20160414,424.56576567,428.999,423.511,427.17996899,35223.39463007
20160415,427.1799692,437.30488611,424.81799693,430.61709605,28984.00151681
20160416,430.61709605,436.34562405,429.599999,430.85,20080.51611305
20160417,431.43100004,438.79118705,426,428,71854.77239978
20160418,428.81999999,432.8,427.2,430.31052983,46770.67435812
20160419,428.7,440.53415106,427.28621864,437.93750001,30095.27729175
20160420,437.93750002,448.54054299,434.15442601,443.12202632,41707.7556308
20160421,443.12202632,459.24500033,440.74000012,450.79900002,67739.88195091
20160422,450.79900455,456.74703717,445.63418304,447.539519,64890.05616896
20160423,449.28214327,454.82827541,446.62111001,453.11,29399.15866886
20160424,453.11,464.38504995,451,460.90144101,28173.24466087
20160425,460.90144101,474.06891535,456.55000001,465,60588.22044081
20160426,463.9,472.47999999,463.223,467.75,49164.7279618
20160427,467.75,469,443,443.02499607,105687.34272316
20160428,443.02499607,451.1,421.91,451,57940.84010883
20160429,451,484.484,445,455.94999999,34717.63027737
20160430,454.95450011,456.456,440.01,445.68435605,43524.47236297
20160501,445.68435605,455.2,442.0272721,446.99655141,20456.72330922
20160502,447.4470001,451.19999999,425.9,445,75384.13459414
20160503,445.00000446,450.9,440.2,450.858,22492.52913576
20160504,447.80000029,450.858,444.21390929,449.48999999,6435.24781342
20160505,445,451.89,444.54430455,446.1200002,19991.11077085
20160506,446.12000071,463.04787573,444.47999995,461,30812.34317849
20160507,459.89000015,461.9999,455.32799997,457.76002301,25239.04319469
20160508,457.76002301,463,455.41,459,14279.29329401
20160509,459,465.07029999,456.06,463.226,12764.58349906
20160510,460.50000925,464.8342,449.48999997,449.5,28709.13615075
20160511,449.5,455.71900601,449.48999997,450.23617237,20983.73112006
20160512,453.53999998,455.06,448.09,454.44000449,19977.31893749
20160513,454.44000904,457.98,450.13,453.37281795,22561.10049539
20160514,453.37281795,457.75,450,455.63002825,27114.7512498
20160515,455.63002825,463,454.26416333,459.15690131,26740.77420649
20160516,458,461.979999,450.9,453.97511699,46775.17480875
20160517,453.97511699,457.96737983,448.99999999,450.71421308,25510.06815936
20160518,453.5,456.69,443.80092386,447.98,71102.40400167
20160519,448.13000001,454.89813585,432.3333,434.36388823,96675.24782168
20160520,432.35,444.44444443,422.0071547,436.00000437,90187.04589928
20160521,436.00000874,440,418.17508636,435.35569089,53869.10433339
20160522,435.35569088,450,420,434.17000002,51438.68178118
20160523,434.17000002,444.97999999,430.00000001,441.27,31745.6864552
20160524,441.2700006,449,439.5000001,447.93890015,39450.44406213
20160525,446.99,453.35,444,445.26100055,29201.94786133
